Sample	Cq	SQ	sample_rep	tech_rep	dyp	stasjon	innsjo	fylke	volum	SQ_vol	lat	lon	provetatt
581	36.67639023	3.54e-5	3	2	0	5	GJE	Finnmark	120	2.95e-7	69.61512	30.9522	2021-08-18
581	36.79636771	3.26e-5	3	3	0	5	GJE	Finnmark	120	2.716666666666667e-7	69.61512	30.9522	2021-08-18
580	35.09230711	1.73297e-4	2	1	0	5	GJE	Finnmark	140	1.2378357142857142e-6	69.61512	30.9522	2021-08-18
580	34.97706667	1.85709e-4	2	2	0	5	GJE	Finnmark	140	1.3264928571428571e-6	69.61512	30.9522	2021-08-18
580	35.21307528	1.6118e-4	2	3	0	5	GJE	Finnmark	140	1.1512857142857143e-6	69.61512	30.9522	2021-08-18
579	35.04603025	1.78178e-4	1	1	0	5	GJE	Finnmark	260	6.853e-7	69.61512	30.9522	2021-08-18
579	34.19182383	2.97528e-4	1	2	0	5	GJE	Finnmark	260	1.1443384615384615e-6	69.61512	30.9522	2021-08-18
579	35.96446236	1.02669e-4	1	3	0	5	GJE	Finnmark	260	3.9488076923076924e-7	69.61512	30.9522	2021-08-18
579	35.80812497	6.48e-5	1	4	0	5	GJE	Finnmark	260	2.4923076923076926e-7	69.61512	30.9522	2021-08-18
579	34.90161087	1.21714e-4	1	5	0	5	GJE	Finnmark	260	4.681307692307692e-7	69.61512	30.9522	2021-08-18
578	36.20099443	4.93e-5	3	1	0	4	GJE	Finnmark	90	5.477777777777778e-7	69.72446	30.88735	2021-08-18
578	35.56049863	7.7e-5	3	2	0	4	GJE	Finnmark	90	8.555555555555556e-7	69.72446	30.88735	2021-08-18
578	36.00929807	5.63e-5	3	3	0	4	GJE	Finnmark	90	6.255555555555556e-7	69.72446	30.88735	2021-08-18
577	34.50710602	2.4623e-4	2	1	0	4	GJE	Finnmark	110	2.2384545454545454e-6	69.72446	30.88735	2021-08-18
577	34.73483528	2.14771e-4	2	2	0	4	GJE	Finnmark	110	1.9524636363636365e-6	69.72446	30.88735	2021-08-18
577	34.57189099	2.36839e-4	2	3	0	4	GJE	Finnmark	110	2.1530818181818183e-6	69.72446	30.88735	2021-08-18
576	31.951869	0.001141391	1	1	0	4	GJE	Finnmark	520	2.1949826923076924e-6	69.72446	30.88735	2021-08-18
576	31.64711204	0.001370497	1	2	0	4	GJE	Finnmark	520	2.635571153846154e-6	69.72446	30.88735	2021-08-18
576	31.48266918	0.001512671	1	3	0	4	GJE	Finnmark	520	2.9089826923076923e-6	69.72446	30.88735	2021-08-18
576	32.60028898	6.03397e-4	1	4	0	4	GJE	Finnmark	520	1.160378846153846e-6	69.72446	30.88735	2021-08-18
576	32.77232404	5.35339e-4	1	5	0	4	GJE	Finnmark	520	1.0294980769230769e-6	69.72446	30.88735	2021-08-18
575	34.32586636	1.81669e-4	3	1	0	3	GJE	Finnmark	350	5.190542857142857e-7	69.70322	30.89109	2021-08-18
575	34.44848205	1.66815e-4	3	2	0	3	GJE	Finnmark	350	4.7661428571428574e-7	69.70322	30.89109	2021-08-18
575	34.57658621	1.52593e-4	3	3	0	3	GJE	Finnmark	350	4.3597999999999996e-7	69.70322	30.89109	2021-08-18
574	32.48987595	8.26396e-4	2	1	0	3	GJE	Finnmark	480	1.7216583333333332e-6	69.70322	30.89109	2021-08-18
574	33.43226842	4.69383e-4	2	2	0	3	GJE	Finnmark	480	9.7788125e-7	69.70322	30.89109	2021-08-18
574	33.07940729	5.8011e-4	2	3	0	3	GJE	Finnmark	480	1.2085625e-6	69.70322	30.89109	2021-08-18
573	32.62896683	7.60204e-4	1	1	0	3	GJE	Finnmark	500	1.520408e-6	69.70322	30.89109	2021-08-18
573	34.05586007	3.22827e-4	1	2	0	3	GJE	Finnmark	500	6.456539999999999e-7	69.70322	30.89109	2021-08-18
573	33.4515497	4.63982e-4	1	3	0	3	GJE	Finnmark	500	9.27964e-7	69.70322	30.89109	2021-08-18
573	33.9972836	2.28323e-4	1	4	0	3	GJE	Finnmark	500	4.56646e-7	69.70322	30.89109	2021-08-18
573	33.70442508	2.79916e-4	1	5	0	3	GJE	Finnmark	500	5.598320000000001e-7	69.70322	30.89109	2021-08-18
572	34.71157655	1.38916e-4	3	1	0	2	GJE	Finnmark	440	3.1571818181818183e-7	69.67527	30.93963	2021-08-18
572	34.36258222	1.77088e-4	3	2	0	2	GJE	Finnmark	440	4.0247272727272727e-7	69.67527	30.93963	2021-08-18
572	34.57676588	1.52574e-4	3	3	0	2	GJE	Finnmark	440	3.467590909090909e-7	69.67527	30.93963	2021-08-18
571	34.16107172	3.03071e-4	2	1	0	2	GJE	Finnmark	400	7.576775000000001e-7	69.67527	30.93963	2021-08-18
571	33.72838292	3.92949e-4	2	2	0	2	GJE	Finnmark	400	9.823725e-7	69.67527	30.93963	2021-08-18
571	33.88037835	3.58686e-4	2	3	0	2	GJE	Finnmark	400	8.96715e-7	69.67527	30.93963	2021-08-18
570	34.11558168	3.1146e-4	1	1	0	2	GJE	Finnmark	420	7.415714285714286e-7	69.67527	30.93963	2021-08-18
570	33.92503558	3.49199e-4	1	2	0	2	GJE	Finnmark	420	8.314261904761905e-7	69.67527	30.93963	2021-08-18
570	34.02622699	3.28621e-4	1	3	0	2	GJE	Finnmark	420	7.824309523809524e-7	69.67527	30.93963	2021-08-18
570	35.21327406	9.8e-5	1	4	0	2	GJE	Finnmark	420	2.3333333333333333e-7	69.67527	30.93963	2021-08-18
570	34.7389761	1.36293e-4	1	5	0	2	GJE	Finnmark	420	3.2450714285714286e-7	69.67527	30.93963	2021-08-18
569	37.07736798	2.68e-5	3	1	0	1	GJE	Finnmark	350	7.657142857142858e-8	69.64657	30.9377	2021-08-18
569	37.08459567	2.67e-5	3	2	0	1	GJE	Finnmark	350	7.628571428571428e-8	69.64657	30.9377	2021-08-18
569	36.07688195	5.37e-5	3	3	0	1	GJE	Finnmark	350	1.5342857142857143e-7	69.64657	30.9377	2021-08-18
568	34.04006871	3.25902e-4	2	1	0	1	GJE	Finnmark	370	8.808162162162161e-7	69.64657	30.9377	2021-08-18
568	35.02679864	1.80247e-4	2	2	0	1	GJE	Finnmark	370	4.87154054054054e-7	69.64657	30.9377	2021-08-18
568	34.83560673	2.02166e-4	2	3	0	1	GJE	Finnmark	370	5.463945945945945e-7	69.64657	30.9377	2021-08-18
567	34.96062	1.87551e-4	1	1	0	1	GJE	Finnmark	440	4.2625227272727274e-7	69.64657	30.9377	2021-08-18
567	35.06866305	1.75774e-4	1	2	0	1	GJE	Finnmark	440	3.994863636363636e-7	69.64657	30.9377	2021-08-18
567	34.2537664	2.86669e-4	1	3	0	1	GJE	Finnmark	440	6.515204545454545e-7	69.64657	30.9377	2021-08-18
567	36.24263127	4.79e-5	1	4	0	1	GJE	Finnmark	440	1.0886363636363636e-7	69.64657	30.9377	2021-08-18
567	35.60588705	7.46e-5	1	5	0	1	GJE	Finnmark	440	1.6954545454545455e-7	69.64657	30.9377	2021-08-18
