Sample,gen_specnm2,SQm,dlat,dlon,eval1,SQmean
548,S. trutta,192.74635071269745,59.12414,10.20159,above zero,192.74635071269745
549,E. lucius,7.301983753750786,59.1058,10.20518,above zero,7.301983753750786
549,S. trutta,177.37735772942358,59.1058,10.20518,above zero,177.37735772942358
550,E. lucius,5.80817992552578,59.1058,10.20518,above zero,5.80817992552578
550,S. trutta,347.05137301418245,59.1058,10.20518,above zero,347.05137301418245
551,E. lucius,0,59.1058,10.20518,zero,0
551,S. trutta,378.95416450127027,59.1058,10.20518,above zero,378.95416450127027
552,E. lucius,9.291322099021588,59.10554,10.20091,above zero,9.291322099021588
552,S. trutta,1133.6865036038446,59.10554,10.20091,above zero,1133.6865036038446
553,E. lucius,10.852185940925242,59.10554,10.20091,above zero,10.852185940925242
553,S. trutta,920.6176062754369,59.10554,10.20091,above zero,920.6176062754369
554,E. lucius,9.06763000440381,59.10554,10.20091,above zero,9.06763000440381
554,S. trutta,879.5519995765759,59.10554,10.20091,above zero,879.5519995765759
555,E. lucius,0,59.09477,10.20301,zero,0
555,S. trutta,597.6022103469606,59.09477,10.20301,above zero,597.6022103469606
556,E. lucius,0,59.09477,10.20301,zero,0
556,S. trutta,317.5799072513053,59.09477,10.20301,above zero,317.5799072513053
557,E. lucius,0,59.09477,10.20301,zero,0
557,S. trutta,523.0930683544159,59.09477,10.20301,above zero,523.0930683544159
558,E. lucius,0,59.07343,10.1841,zero,0
558,S. trutta,269.2140152812273,59.07343,10.1841,above zero,269.2140152812273
559,E. lucius,0,59.07343,10.1841,zero,0
559,S. trutta,231.09948151804778,59.07343,10.1841,above zero,231.09948151804778
560,E. lucius,0,59.07343,10.1841,zero,0
560,S. trutta,272.98839579988083,59.07343,10.1841,above zero,272.98839579988083
561,E. lucius,24.12483399441201,59.07989,10.20241,above zero,24.12483399441201
561,S. trutta,661.3388839225191,59.07989,10.20241,above zero,661.3388839225191
562,E. lucius,0,59.07989,10.20241,zero,0
562,S. trutta,561.5410171273512,59.07989,10.20241,above zero,561.5410171273512
563,E. lucius,0,59.07989,10.20241,zero,0
563,S. trutta,440.04465812063734,59.07989,10.20241,above zero,440.04465812063734
564,E. lucius,48.60713519474305,59.07941,10.20259,above zero,48.60713519474305
564,S. trutta,30.756758812423563,59.07941,10.20259,above zero,30.756758812423563
565,E. lucius,0,59.07941,10.20259,zero,0
565,S. trutta,58.97871320557846,59.07941,10.20259,above zero,58.97871320557846
566,E. lucius,0,59.07941,10.20259,zero,0
566,S. trutta,65.86022315113223,59.07941,10.20259,above zero,65.86022315113223
596,E. lucius,209.97796427206217,59.2523523,10.3208257,above zero,209.97796427206217
597,E. lucius,20.94044506771404,59.2523523,10.3208257,above zero,20.94044506771404
598,E. lucius,16.89203865438142,59.2523523,10.3208257,above zero,16.89203865438142
599,E. lucius,54.26385019152541,59.2523911,10.3321997,above zero,54.26385019152541
600,E. lucius,21.11154207192434,59.2523911,10.3321997,above zero,21.11154207192434
601,E. lucius,16.635808987200242,59.2523911,10.3321997,above zero,16.635808987200242
602,E. lucius,14.232634445518025,59.2523911,10.3321997,above zero,14.232634445518025
603,E. lucius,29.141785180256083,59.2523911,10.3321997,above zero,29.141785180256083
604,E. lucius,9.90006560106729,59.2523911,10.3321997,above zero,9.90006560106729
605,E. lucius,7.13486796678402,59.2418512,10.3319709,above zero,7.13486796678402
606,E. lucius,14.392227482939614,59.2418512,10.3319709,above zero,14.392227482939614
607,E. lucius,26.627768246776366,59.2418512,10.3319709,above zero,26.627768246776366
608,E. lucius,13.154095090845765,59.2418512,10.3319709,above zero,13.154095090845765
609,E. lucius,56.6125519198524,59.2418512,10.3319709,above zero,56.6125519198524
610,E. lucius,12.037145928592738,59.2418512,10.3319709,above zero,12.037145928592738
611,E. lucius,48.144205949436895,59.2346192,10.3202332,above zero,48.144205949436895
612,E. lucius,44.40114386875538,59.2346192,10.3202332,above zero,44.40114386875538
613,E. lucius,51.75369003816351,59.2346192,10.3202332,above zero,51.75369003816351
